category_name,product_name,product_price
Camping & Hiking,Diamondback Adult Outlook Mountain Bike 2014,309.99
Camping & Hiking,Diamondback Boys' Insight 24 Performance Hybr,299.99
Camping & Hiking,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.99
Lacrosse,Schutt Youth Recruit Hybrid Custom Football H,99.99
Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,99.99
Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,99.99
Lacrosse,Quest Q100 10' X 10' Dome Canopy,99.98
Lacrosse,Elevation Training Mask 2.0,79.99
Lacrosse,Nike Hoops Elite Team Backpack,70.0
Lacrosse,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98
Lacrosse,"\"Goaliath 54\"\" In-Ground Basketball Hoop with P\"",499.99
Lacrosse,Teeter Hang Ups NXT-S Inversion Table,299.99
Lacrosse,Kijaro Dual Lock Chair,29.99
Women's Golf Clubs,TaylorMade White Smoke IN-12 Putter,99.99
Women's Golf Clubs,TaylorMade White Smoke MC-72 Putter,99.99
Women's Golf Clubs,Tour Edge Exotics CB Pro S Forged Wedge,99.99
Women's Golf Clubs,PING G30 Irons - (Graphite) 4-UW,899.0
Women's Golf Clubs,PING G30 Irons - (Steel) 4-UW,799.0
Women's Golf Clubs,MDGolf Texas Longhorns Putter,79.99
Women's Golf Clubs,MDGolf Alabama Crimson Tide Putter,79.99
Women's Golf Clubs,MDGolf Pittsburgh Penguins Putter,79.99
Women's Golf Clubs,MDGolf Philadelphia Flyers Putter,79.99
Women's Golf Clubs,Tour Edge XCG7 Irons - (Graphite) 4-PW,599.99
Men's Footwear,Under Armour Men's Renegade D Mid Football Cl,89.99
Men's Footwear,Under Armour Men's Renegade D Mid Football Cl,89.99
Men's Footwear,Under Armour Men's Renegade D Mid Football Cl,89.99
Men's Footwear,Under Armour Kids' Highlight RM Alter Ego Sup,59.99
Men's Footwear,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99
Men's Footwear,adidas Men's F10 Messi FG Soccer Cleat,59.99
Men's Footwear,Under Armour Kids' Highlight RM Football Clea,54.99
Men's Footwear,adidas Kids' F10 Messi TRX FG Soccer Cleat,44.99
Men's Footwear,adidas Kids' F5 Messi FG Soccer Cleat,34.99
Men's Footwear,PUMA Men's evoPOWER 1 Tricks FG Soccer Cleat,189.99
Accessories,adidas Men's Germany Black/Red Away Match Soc,90.0
Accessories,adidas Men's Germany Home Soccer Jersey,90.0
Accessories,adidas Men's 2014 MLS All-Star Game Replica B,85.0
Accessories,TYR Girls' Phoenix Maxfit Back Swimsuit,75.99
Accessories,TYR Girls' Palisade Maxfit Back Swimsuit,75.99
Accessories,adidas Youth Germany Black/Red Away Match Soc,70.0
Accessories,Lotto Men's Zhero Gravity V 700 TF Soccer Cle,59.99
Accessories,Lotto Men's Zhero Gravity V 700 TF Soccer Cle,59.99
Accessories,Lotto Men's Zhero Gravity V 700 TF Soccer Cle,59.99
Accessories,adidas Men's Germany Home Replica White Top,50.0
Cleats,Perfect Fitness Perfect Rip Deck,59.99
Cleats,BOSU Ballast Ball,59.99
Cleats,Gold's Gym K10 7-in-1 Body Building Kit,49.99
Cleats,Total Gym 1900,399.99
Cleats,Perfect Ab Carver Pro,39.99
Cleats,Perfect Fitness Multi Gym Pro,39.99
Cleats,Total Gym 1400,299.99
Cleats,Gazelle Supreme Glider,299.99
Cleats,Perfect Fitness Perfect Ab Strap Pro,29.99
Cleats,Perfect Pushup V2 Performance,29.99
Girls' Apparel,adidas Men's Germany Black/Red Away Match Soc,90.0
Girls' Apparel,adidas Men's Germany Home Soccer Jersey,90.0
Girls' Apparel,adidas Men's 2014 MLS All-Star Game Replica B,85.0
Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,70.0
Girls' Apparel,Lotto Men's Zhero Gravity V 700 TF Soccer Cle,59.99
Girls' Apparel,Lotto Men's Zhero Gravity V 700 TF Soccer Cle,59.99
Girls' Apparel,Lotto Men's Zhero Gravity V 700 TF Soccer Cle,59.99
Girls' Apparel,TYR Boys' Venom Blade Splice Jammer,51.99
Girls' Apparel,adidas Men's Germany Home Replica White Top,50.0
Girls' Apparel,TYR Boys' Team Digi Jammer,39.99
Indoor/Outdoor Games,Field & Stream 12' Eagle Run Kayak,549.99
Indoor/Outdoor Games,Field & Stream Eagle Talon Kayak,549.99
Indoor/Outdoor Games,Old Town Canoe Saranac 146 Canoe,499.99
Indoor/Outdoor Games,Old Town Trip 10 Angler Deluxe Kayak,499.99
Indoor/Outdoor Games,Perception Sport Striker 11.5 Angler Kayak,499.99
Indoor/Outdoor Games,Sun Dolphin Sun Slider 5-Seated Pedal Boat wi,499.99
Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,49.98
Indoor/Outdoor Games,O'Brien Women's Neoprene Life Vest,49.98
Indoor/Outdoor Games,O'Brien Youth Neoprene Life Vest,44.98
Indoor/Outdoor Games,GoPro HERO3+ Black Edition Camera,399.99
Tennis & Racquet,Nike Men's Alpha Pro D Mid Football Cleat,99.99
Tennis & Racquet,Quest Q100 10' X 10' Dome Canopy,99.98
Tennis & Racquet,SKLZ Sport-Brella XL,69.99
Tennis & Racquet,Quest 12' x 12' Screen House,69.99
Tennis & Racquet,Under Armour Men's Highlight RM Football Clea,59.99
Tennis & Racquet,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98
Tennis & Racquet,Nike Men's Comfort 2 Slide,44.99
Tennis & Racquet,YETI Tundra 65 Chest Cooler,399.99
Tennis & Racquet,Kijaro XXL Dual Lock Oversized Chair,39.99
Tennis & Racquet,Under Armour Men's Ignite Camo II Slide,34.99
Women's Footwear,Nike Men's Free 5.0+ Running Shoe,99.99
Women's Footwear,Nike Men's Free 5.0 Running Shoe,99.99
Women's Footwear,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Women's Footwear,Nike+ Fuelband SE,99.0
Women's Footwear,Under Armour Men's Renegade D Mid Football Cl,89.99
Women's Footwear,Under Armour Men's Renegade D Mid Football Cl,89.99
Women's Footwear,Under Armour Men's Renegade D Mid Football Cl,89.99
Women's Footwear,Brooks Men's Adrenaline GTS 13 Running Shoe,89.99
Women's Footwear,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99
Women's Footwear,adidas Men's F10 Messi FG Soccer Cleat,59.99
Trade-In,Primos Truth Cam Supercharged Blackout 7 MP G,99.99
Trade-In,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Trade-In,Fitbit The One Wireless Activity & Sleep Trac,99.95
Trade-In,Nike+ Fuelband SE,99.0
Trade-In,Golf Pride Decade MultiCompound Platinum Stan,9.59
Trade-In,Golf Pride Decade MultiCompound Platinum Stan,9.59
Trade-In,Golf Pride Decade MultiCompound Platinum Stan,9.59
Trade-In,Nike Hoops Elite Team Backpack,70.0
Trade-In,Under Armour Hustle Backpack,54.99
Trade-In,Nike Women's Pro Padded Sports Bra,40.0
International Soccer,Toronto FC Team Color Soccer Bracelet,9.99
International Soccer,Sporting KC Team Color Soccer Bracelet,9.99
International Soccer,San Jose Earthquakes Team Color Soccer Bracel,9.99
International Soccer,Real Salt Lake Team Color Soccer Bracelet,9.99
International Soccer,adidas Men's New York Red Bulls Navy 2014 Sec,85.0
International Soccer,"\"adidas Men's Sporting KC Navy 2014 Secondary \"",85.0
International Soccer,adidas Men's 2014 MLS All-Star Game Replica B,85.0
International Soccer,"\"adidas Men's New York City FC Team Logo Navy \"",72.0
International Soccer,adidas Men's New York City FC Big Time Navy T,32.0
International Soccer,"\"adidas Original Men's 2014 MLS All-Star Game \"",28.0
Kids' Golf Clubs,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Kids' Golf Clubs,Fitbit The One Wireless Activity & Sleep Trac,99.95
Kids' Golf Clubs,Nike+ Fuelband SE,99.0
Kids' Golf Clubs,Polar FT4 Heart Rate Monitor,89.99
Kids' Golf Clubs,Bushnell Pro X7 Jolt Slope Rangefinder,599.99
Kids' Golf Clubs,Fitbit Zip Wireless Activity Tracker,59.95
Kids' Golf Clubs,Garmin Forerunner 620 GPS Watch with Heart Ra,449.99
Kids' Golf Clubs,Garmin Forerunner 910XT with HRM,449.99
Kids' Golf Clubs,Garmin Forerunner 910XT GPS Watch,399.99
Kids' Golf Clubs,TomTom Multi-Sport Cardio + Cycle GPS Watch w,399.99
Accessories,Team Golf St. Louis Cardinals Putter Grip,24.99
Accessories,Team Golf San Francisco Giants Putter Grip,24.99
Accessories,Team Golf New York Yankees Putter Grip,24.99
Accessories,Team Golf Detroit Tigers Putter Grip,24.99
Accessories,Team Golf Chicago Cubs Putter Grip,24.99
Accessories,Team Golf Boston Red Sox Putter Grip,24.99
Accessories,Team Golf Washington Redskins Putter Grip,24.99
Accessories,Team Golf San Francisco 49ers Putter Grip,24.99
Accessories,Team Golf Pittsburgh Steelers Putter Grip,24.99
Accessories,Team Golf Dallas Cowboys Putter Grip,24.99
Boys' Apparel,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Boys' Apparel,Nike+ Fuelband SE,99.0
Boys' Apparel,Nike Men's USA White Home Stadium Soccer Jers,90.0
Boys' Apparel,Nike Men's USA Away Stadium Replica Soccer Je,90.0
Boys' Apparel,adidas Men's Germany Home Soccer Jersey,90.0
Boys' Apparel,adidas Men's Germany Black/Red Away Match Soc,90.0
Boys' Apparel,Brooks Women's Adrenaline GTS 13 Running Shoe,89.99
Boys' Apparel,Nike Women's Free 4.0 Running Shoe,89.99
Boys' Apparel,Coleman River Gorge 6 Person Dome Tent,79.98
Boys' Apparel,Nike Youth USA Away Stadium Replica Soccer Je,75.0
Hunting & Shooting,Quest Q100 10' X 10' Dome Canopy,99.98
Hunting & Shooting,The North Face Women's Recon Backpack,99.0
Hunting & Shooting,The North Face Women's Stinson Rain Jacket,90.0
Hunting & Shooting,Quest Eagle Peak 6 Person Tent,79.99
Hunting & Shooting,Coleman River Gorge 6 Person Dome Tent,79.98
Hunting & Shooting,MAC Sports Collapsible Wagon,69.99
Hunting & Shooting,ENO DoubleNest Two Person Hammock,69.99
Hunting & Shooting,SKLZ Sport-Brella XL,69.99
Hunting & Shooting,Quest 12' x 12' Screen House,69.99
Hunting & Shooting,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98
NCAA,Nike Kids' Grade School KD VI Basketball Shoe,99.99
NCAA,Nike Kids' Grade School KD VI Basketball Shoe,99.99
NCAA,Nike Kids' Grade School KD VI Basketball Shoe,99.99
NCAA,Nike Kids' Grade School Zoom Soldier VII Bask,94.99
NCAA,Nike Kids' Grade School KD VI Basketball Shoe,89.99
NCAA,Nike Kids' Grade School KD VI Basketball Shoe,89.99
NCAA,Nike Kids' Grade School Zoom Soldier VII Bask,84.99
NCAA,Nike Men's Air LeBron 3 Elite Slide,69.99
NCAA,Nike Men's LeBron XI Basketball Shoe,199.99
NCAA,Nike Men's Kobe IX Elite Low Basketball Shoe,199.99
NFL Players,Majestic Youth Replica New York Yankees Derek,60.0
NFL Players,Majestic Youth 2014 All-Star Game Derek Jeter,60.0
NFL Players,"\"Majestic Youth 2014 All-Star Game Mike Trout \"",60.0
NFL Players,Majestic Youth Replica New York Yankees Derek,50.0
NFL Players,Majestic Youth Replica Pittsburgh Pirates And,50.0
NFL Players,Majestic Youth Replica Boston Red Sox David O,50.0
NFL Players,Majestic Youth Replica Los Angeles Dodgers Ya,50.0
NFL Players,Majestic Youth Replica New York Yankees Jacob,50.0
NFL Players,Nike Men's New York Yankees Derek Jeter Pinst,30.0
NFL Players,Nike Men's New York Yankees Derek Jeter Retir,30.0
Golf Shoes,Nike Lunar Cypress Golf Shoes,99.99
Golf Shoes,Nike Women's Lunar Empress Golf Shoes,99.99
Golf Shoes,LIJA Women's Eyelet Golf Skort,90.0
Golf Shoes,LIJA Women's Long Sleeve Golf Quarter-Zip Pul,80.0
Golf Shoes,LIJA Women's Open Neck Print Golf Polo,80.0
Golf Shoes,LIJA Women's Argyle Golf Polo,80.0
Golf Shoes,Under Armour Men's Performance Chino Straight,79.99
Golf Shoes,Sport Haley Women's Embossed Golf Polo,76.0
Golf Shoes,LILJA Women's Ace Golf Polo,70.0
Golf Shoes,LIJA Women's Eyelet Sleeveless Golf Polo,65.0
Water Sports,"\"Tiga 11'4\"\" Stand-Up Paddle Board\"",799.99
Water Sports,Field & Stream 12' Eagle Run Kayak,549.99
Water Sports,Field & Stream Eagle Talon Kayak,549.99
Water Sports,Old Town Canoe Saranac 146 Canoe,499.99
Water Sports,Old Town Trip 10 Angler Deluxe Kayak,499.99
Water Sports,O'Brien Men's Neoprene Life Vest,49.98
Water Sports,O'Brien Women's Neoprene Life Vest,49.98
Water Sports,O'Brien Youth Neoprene Life Vest,44.98
Water Sports,Lifetime Freestyle XL Stand-Up Paddle Board,399.99
Water Sports,Coleman Scanoe Canoe,399.99
Women's Apparel,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Women's Apparel,Nike+ Fuelband SE,99.0
Women's Apparel,Nike Men's USA White Home Stadium Soccer Jers,90.0
Women's Apparel,Nike Men's USA Away Stadium Replica Soccer Je,90.0
Women's Apparel,adidas Men's Germany Home Soccer Jersey,90.0
Women's Apparel,adidas Men's Germany Black/Red Away Match Soc,90.0
Women's Apparel,adidas Men's Mexico Home Soccer Jersey,90.0
Women's Apparel,Nike Men's Dri-FIT Flat Front Tech Golf Pants,80.0
Women's Apparel,Nike Youth USA Away Stadium Replica Soccer Je,75.0
Women's Apparel,Nike Men's Flat Front Tech Golf Shorts,65.0
Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,99.99
Cardio Equipment,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Cardio Equipment,Nike+ Fuelband SE,99.0
Cardio Equipment,Nike Men's USA White Home Stadium Soccer Jers,90.0
Cardio Equipment,Nike Men's USA Away Stadium Replica Soccer Je,90.0
Cardio Equipment,adidas Men's Germany Home Soccer Jersey,90.0
Cardio Equipment,Brooks Women's Adrenaline GTS 13 Running Shoe,89.99
Cardio Equipment,Under Armour Men's Renegade D Mid Football Cl,89.99
Cardio Equipment,Nike Youth USA Away Stadium Replica Soccer Je,75.0
Cardio Equipment,MAC Sports Collapsible Wagon,69.99
Golf Apparel,Callaway Women's Solaire Gems 20-Piece Comple,999.99
Golf Apparel,Callaway Women's Solaire Gems 20-Piece Comple,999.99
Golf Apparel,Top Flite Women's Aero Adjustable Driver - Gr,99.99
Golf Apparel,Top Flite Women's Aero Adjustable Driver - Pi,99.99
Golf Apparel,Cleveland Women's 588 Altitude Hybrid/Irons -,699.99
Golf Apparel,Tour Edge Women's Moda Silk 18-Piece Complete,599.99
Golf Apparel,Tour Edge Women's Moda Silk 18-Piece Complete,599.99
Golf Apparel,Top Flite Women's Tour Black PVD Wedge,59.99
Golf Apparel,Cobra Women's AMP CELL-S Irons - (Graphite) 5,499.99
Golf Apparel,Adams Golf Women's Idea Tech V4 Hybrid/Iron S,499.99
Kids' Footwear,Nike Women's Free 5.0+ Running Shoe,99.99
Kids' Footwear,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Kids' Footwear,Nike+ Fuelband SE,99.0
Kids' Footwear,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.99
Kids' Footwear,Brooks Women's Adrenaline GTS 13 Running Shoe,89.99
Kids' Footwear,Nike Women's Free 4.0 Running Shoe,89.99
Kids' Footwear,Brooks Women's Ghost 6 Running Shoe,89.99
Kids' Footwear,Brooks Women's Ghost 6 Running Shoe,89.99
Kids' Footwear,ASICS Women's GEL-Cumulus 15 Running Shoe,89.99
Kids' Footwear,Nike Women's Air Pegasus+ 30 Running Shoe,89.99
World Cup Shop,Nike Men's USA White Home Stadium Soccer Jers,90.0
World Cup Shop,Nike Men's USA Away Stadium Replica Soccer Je,90.0
World Cup Shop,adidas Men's Germany Home Soccer Jersey,90.0
World Cup Shop,adidas Men's Germany Black/Red Away Match Soc,90.0
World Cup Shop,adidas Men's Mexico Home Soccer Jersey,90.0
World Cup Shop,adidas Men's Argentina Home Soccer Jersey,90.0
World Cup Shop,adidas Men's Mexico Red Away Soccer Jersey,90.0
World Cup Shop,Nike Men's Netherlands Orange Home Stadium So,90.0
World Cup Shop,adidas Brazuca 2014 Mini Soccer Ball,9.99
World Cup Shop,Nike Youth USA Away Stadium Replica Soccer Je,75.0
Golf Balls,Hirzl Women's Trust Feel Golf Glove,24.99
Golf Balls,Hirzl Women's Trust Control Golf Glove,24.99
Golf Balls,Glove It Women's Violet Bling Golf Glove,24.99
Golf Balls,Glove It Women's Urban Brick Golf Glove,19.99
Golf Balls,Glove It Women's Versailles Golf Glove,19.99
Golf Balls,Glove It Women's Navy Clear Dot Golf Glove,19.99
Golf Balls,Glove It Women's Pink Clear Dot Golf Glove,19.99
Golf Balls,Glove It Women's Olive Bling Golf Glove,19.99
Golf Balls,Glove It Women's Silver Bling Golf Glove,19.99
Golf Balls,Glove It Women's Imperial Golf Glove,19.99
Strength Training,SOLE E25 Elliptical,999.99
Strength Training,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Strength Training,Nike+ Fuelband SE,99.0
Strength Training,Elevation Training Mask 2.0,79.99
Strength Training,Quest 15 FT Trampoline Enclosure Combo,499.99
Strength Training,GoPro HERO3+ Black Edition Camera,399.99
Strength Training,Diamondback Adult Response XE Mountain Bike 2,349.98
Strength Training,Under Armour Men's Ignite Camo II Slide,34.99
